C_max,arm,seed,weekly_cost_mean,weekly_cost_sd,weekly_cost_median,weekly_cost_p90,weekly_cost_p99,weekly_cost_max,frac_weeks_at_cap,frac_weeks_zero,total_cost,budget_utilisation,n_sr_per_week,n_sp_per_week
inf,threshold,-1,4.392,5.888491827284811,0.0,12.0,24.0,27.0,,0.534,2196.0,,0.0,1.464
inf,calendar,-1,1.134,2.452762524175547,0.0,6.0,9.0,10.0,,0.79,567.0,,1.134,0.0
inf,mpc1,-1,0.44,1.1689311356961967,0.0,1.1000000000000227,5.0,5.0,,0.82,220.0,,0.44,0.0
inf,ppo,0,1.292,1.6033514898486856,1.0,4.0,6.0,7.0,,0.462,646.0,,1.292,0.0
inf,ppo,1,1.134,1.6223575438231856,0.0,4.0,6.0,7.0,,0.56,567.0,,1.134,0.0
inf,ppo,2,1.114,1.5274174282101145,0.0,3.0,6.0,8.0,,0.52,557.0,,1.114,0.0
inf,ppo,3,1.038,1.3640219939575755,0.0,3.0,5.0,6.0,,0.52,519.0,,1.038,0.0
inf,ppo,4,1.158,1.5546819610454095,0.0,4.0,6.0,8.0,,0.506,579.0,,1.158,0.0
inf,ppo,5,1.038,1.5377112862953173,0.0,3.0,6.009999999999991,10.0,,0.568,519.0,,1.038,0.0
inf,ppo,6,1.146,1.5115171186592629,0.0,3.0,6.0,7.0,,0.504,573.0,,1.146,0.0
inf,ppo,7,1.06,1.46574213284602,0.0,3.0,5.009999999999991,8.0,,0.56,530.0,,1.06,0.0
inf,ppo,8,1.068,1.4012051955370421,0.0,3.0,5.0,6.0,,0.536,534.0,,1.068,0.0
inf,ppo,9,1.128,1.447624260642243,0.0,3.0,6.0,8.0,,0.502,564.0,,1.128,0.0
