C_max,model,seed,arm,mean_bi,peak_bi,weeks_bi_ge10_pct,weeks_bi_ge5_pct,total_cost,mean_weekly_cost,n_sr,n_sp,episode_return,n_infeasible_weeks,budget_utilisation,rep,eval_seed
4,ppo_c4_s1,1,ppo,2.222740208506225,8.659326909104713,0.0,6.4,55.0,1.1,55,0,-0.7190781961645167,0,0.275,5,10005
4,ppo_c4_s1,1,ppo,2.21557650105743,7.70629879878792,0.0,7.3999999999999995,52.0,1.04,52,0,-0.662423173918188,0,0.26,6,10006
4,ppo_c4_s1,1,ppo,2.206822710674343,7.704103637026934,0.0,5.800000000000001,55.0,1.1,55,0,-0.66484104534993,0,0.275,7,10007
4,ppo_c4_s1,1,ppo,2.250660377912747,7.032556096373634,0.0,6.6000000000000005,54.0,1.08,54,0,-0.6740767454807859,0,0.27,8,10008
4,ppo_c4_s1,1,ppo,2.1460963946182794,7.067520620075378,0.0,5.4,58.0,1.16,58,0,-0.6674619828501673,0,0.29,9,10009
4,ppo_c4_s2,2,ppo,2.0922541519195703,7.574075951062567,0.0,5.2,58.0,1.16,58,0,-0.7039810784666873,0,0.29,0,10000
4,ppo_c4_s2,2,ppo,2.2839345408427776,8.70508019085569,0.0,8.4,50.0,1.0,50,0,-0.7618492072838094,0,0.25,1,10001
4,ppo_c4_s2,2,ppo,2.07522571145192,6.658494546414382,0.0,5.0,58.0,1.16,58,0,-0.6277531570064141,0,0.29,2,10002
4,ppo_c4_s2,2,ppo,2.086351936893676,7.88233496036784,0.0,4.3999999999999995,54.0,1.08,54,0,-0.6645811650904477,0,0.27,3,10003
4,ppo_c4_s2,2,ppo,2.2480733705429623,7.403219105496055,0.0,6.6000000000000005,54.0,1.08,54,0,-0.6563277617807786,0,0.27,4,10004
4,ppo_c4_s2,2,ppo,2.1815514581225672,7.7995053863309245,0.0,7.3999999999999995,54.0,1.08,54,0,-0.7127442348055011,0,0.27,5,10005
4,ppo_c4_s2,2,ppo,2.225588580130016,7.700163059054745,0.0,6.800000000000001,50.0,1.0,50,0,-0.6841430891348259,0,0.25,6,10006
4,ppo_c4_s2,2,ppo,2.171562855762678,7.704103637026934,0.0,5.6000000000000005,56.0,1.12,56,0,-0.726089898758689,0,0.28,7,10007
4,ppo_c4_s2,2,ppo,2.339194315729039,9.045181149084133,0.0,7.3999999999999995,47.0,0.94,47,0,-0.7130601039625151,0,0.235,8,10008
4,ppo_c4_s2,2,ppo,2.1706884432910116,7.173631462073755,0.0,6.2,54.0,1.08,54,0,-0.6575027277047423,0,0.27,9,10009
4,ppo_c4_s3,3,ppo,2.2278414674157765,7.738769888865162,0.0,6.0,51.0,1.02,51,0,-0.6599763219812114,0,0.255,0,10000
4,ppo_c4_s3,3,ppo,2.2334651347315457,7.4395130490296175,0.0,7.8,51.0,1.02,51,0,-0.6465328061222408,0,0.255,1,10001
