model,wall_sec,start,end
ppo_loyo2016_c2_s1,201.0,2026-09-14 05:33:46.720565081,2026-09-14 05:37:07.682178020
ppo_loyo2016_c2_s2,202.6,2026-09-14 05:33:46.746877432,2026-09-14 05:37:09.305838108
ppo_loyo2016_c2_s3,200.7,2026-09-14 05:33:48.780129194,2026-09-14 05:37:09.444158554
ppo_loyo2016_c2_s4,206.5,2026-09-14 05:37:09.464708090,2026-09-14 05:40:35.963956833
ppo_loyo2017_c2_s0,207.7,2026-09-14 05:37:11.503588676,2026-09-14 05:40:39.191649437
ppo_loyo2017_c2_s1,207.7,2026-09-14 05:37:11.526484728,2026-09-14 05:40:39.214833736
ppo_loyo2017_c2_s2,201.6,2026-09-14 05:40:38.308420181,2026-09-14 05:43:59.898597002
ppo_loyo2017_c2_s3,201.6,2026-09-14 05:40:40.340399981,2026-09-14 05:44:01.979172230
ppo_loyo2017_c2_s4,201.0,2026-09-14 05:40:40.361754417,2026-09-14 05:44:01.358376265
ppo_loyo2018_c2_s0,217.8,2026-09-14 05:44:01.063052654,2026-09-14 05:47:38.832969904
ppo_loyo2018_c2_s1,219.7,2026-09-14 05:44:03.087791204,2026-09-14 05:47:42.762547016
ppo_loyo2018_c2_s2,217.8,2026-09-14 05:44:03.107991695,2026-09-14 05:47:40.882337570
ppo_loyo2018_c2_s3,235.8,2026-09-14 05:47:39.871737719,2026-09-14 05:51:35.658752203
ppo_loyo2018_c2_s4,235.2,2026-09-14 05:47:41.899695635,2026-09-14 05:51:37.071519136
ppo_loyo2019_c2_s0,234.7,2026-09-14 05:47:43.963260651,2026-09-14 05:51:38.690589428
ppo_loyo2019_c2_s1,273.8,2026-09-14 05:51:38.526957989,2026-09-14 05:56:12.289020777
ppo_loyo2019_c2_s2,274.4,2026-09-14 05:51:38.622142076,2026-09-14 05:56:13.013714075
ppo_loyo2019_c2_s3,274.8,2026-09-14 05:51:40.692770243,2026-09-14 05:56:15.489047289
ppo_loyo2019_c2_s4,266.1,2026-09-14 05:56:13.278312445,2026-09-14 06:00:39.423124552
ppo_loyo2020_c2_s0,263.2,2026-09-14 05:56:15.313525915,2026-09-14 06:00:38.538472652
ppo_loyo2020_c2_s1,264.5,2026-09-14 05:56:17.351737261,2026-09-14 06:00:41.835333824
ppo_loyo2020_c2_s2,291.1,2026-09-14 06:00:39.894334078,2026-09-14 06:05:31.006423950
ppo_loyo2020_c2_s3,291.2,2026-09-14 06:00:41.935553789,2026-09-14 06:05:33.113174200
ppo_loyo2020_c2_s4,292.3,2026-09-14 06:00:43.999745369,2026-09-14 06:05:36.330068111
