arm,label,seed,ret,bi,peak_bi,w10,cost,util,infeas
nest56,C=inf  Discrete(56) nested,5,-0.6367515845380253,2.3035855089547335,7.876865763948426,0.0,49.7,,0.0
nest56,C=inf  Discrete(56) nested,6,-0.6403076329160181,2.3377138270206594,7.884013375907843,0.0,47.0,,0.0
nest56,C=inf  Discrete(56) nested,7,-0.645006782476891,2.292475962442336,7.76819872788157,0.0,50.0,,0.0
nest56,C=inf  Discrete(56) nested,8,-0.6424827140211227,2.3152899938548566,7.928258195086277,0.0,48.1,,0.0
nest56,C=inf  Discrete(56) nested,9,-0.6683924969283037,2.288873383653422,7.8931677853041675,0.0,49.9,,0.0
nest59049,C=inf  Discrete(59049) = full,0,-3.903589741243613,2.2986385681312873,11.001347198162897,0.66,174.0,,0.0
nest59049,C=inf  Discrete(59049) = full,1,-3.5156617525187244,1.3562534441776948,9.201161993083554,0.02,308.9,,0.0
nest59049,C=inf  Discrete(59049) = full,2,-2.491622443411442,1.4158637803380916,8.180838412360458,0.0,235.3,,0.0
nest6498,C=inf  Discrete(6498) nested,0,-0.9520773925638487,2.0034354840423845,7.686482992111044,0.0,79.7,,0.0
nest6498,C=inf  Discrete(6498) nested,1,-1.1567354373252519,1.8654842757126442,7.874444215098249,0.0,101.2,,0.0
nest6498,C=inf  Discrete(6498) nested,2,-1.0501171771426425,1.8262578501482458,7.582113785476094,0.0,95.0,,0.0
nest6498,C=inf  Discrete(6498) nested,3,-1.1772467470636698,1.7671904305387165,7.8575555737861595,0.0,106.0,,0.0
nest6498,C=inf  Discrete(6498) nested,4,-1.2007305049685832,1.7262229934108526,7.496804275869886,0.0,111.0,,0.0
nest6498,C=inf  Discrete(6498) nested,5,-0.9123816753916636,1.9675302727762005,7.558868347749135,0.0,80.8,,0.0
nest6498,C=inf  Discrete(6498) nested,6,-1.2662892442251503,1.7494178724831262,7.770685628273744,0.0,113.0,,0.0
nest6498,C=inf  Discrete(6498) nested,7,-1.0437011871482058,1.8906121770327395,7.95633060054531,0.0,91.5,,0.0
nest6498,C=inf  Discrete(6498) nested,8,-1.3216320326155826,1.8376889546338262,7.997884713400889,0.0,117.4,,0.0
nest6498,C=inf  Discrete(6498) nested,9,-1.392496955687347,1.7552394760233399,8.128515289713384,0.0,124.7,,0.0
rnd56,C=inf  Discrete(56) RANDOM [neg ctl],0,-3.3057074935839723,1.2280231554935308,7.489580306146325,0.0,324.7,,0.0
rnd56,C=inf  Discrete(56) RANDOM [neg ctl],1,-3.316345974961428,1.1965620225380782,7.17847715343985,0.0,327.4,,0.0
rnd56,C=inf  Discrete(56) RANDOM [neg ctl],2,-3.3292733497205482,1.2497103323974446,7.159047741642564,0.0,327.3,,0.0
