C_max,seed,arm,mean_bi,peak_bi,weeks_bi_ge10_pct,weeks_bi_ge5_pct,total_cost,mean_weekly_cost,n_sr,n_sp,episode_return,n_infeasible_weeks,budget_utilisation,rep,eval_seed,model
2,9,ppo,2.3179059466544385,7.935715151565363,0.0,6.800000000000001,49.0,0.98,49,0,-0.7161331560218045,0,0.49,8,10008,ppo_c2_s9
2,9,ppo,2.277172051111146,7.307064889001435,0.0,6.2,51.0,1.02,51,0,-0.654392276940867,0,0.51,9,10009,ppo_c2_s9
2,0,a2c,2.331018234377648,8.04138490046973,0.0,8.0,46.0,0.92,46,0,-0.6548498839021515,0,0.46,0,10000,a2c_c2_s0
2,0,a2c,2.4044488095388035,8.70508019085569,0.0,9.8,44.0,0.88,44,0,-0.7788939513288371,0,0.44,1,10001,a2c_c2_s0
2,0,a2c,2.420960661247063,7.188805010437577,0.0,10.6,42.0,0.84,42,0,-0.6159610325473481,0,0.42,2,10002,a2c_c2_s0
2,0,a2c,2.265861404722597,7.959792355661072,0.0,7.199999999999999,47.0,0.94,47,0,-0.6209077262702534,0,0.47,3,10003,a2c_c2_s0
2,0,a2c,2.3761977134883874,8.2412755499929,0.0,7.8,49.0,0.98,49,0,-0.7899151422517989,0,0.49,4,10004,a2c_c2_s0
2,0,a2c,2.3622523771816133,8.659326909104713,0.0,8.200000000000001,47.0,0.94,47,0,-0.6971583191359545,0,0.47,5,10005,a2c_c2_s0
2,0,a2c,2.332512344381265,8.269834431543229,0.0,9.0,45.0,0.9,45,0,-0.6568471164152703,0,0.45,6,10006,a2c_c2_s0
2,0,a2c,2.3701559965834798,7.704103637026934,0.0,9.6,46.0,0.92,46,0,-0.6434676838566866,0,0.46,7,10007,a2c_c2_s0
2,0,a2c,2.375348004970462,8.552209659681305,0.0,8.0,46.0,0.92,46,0,-0.7327658969604329,0,0.46,8,10008,a2c_c2_s0
2,0,a2c,2.3354750770760093,7.594113369667905,0.0,7.000000000000001,46.0,0.92,46,0,-0.6406001479102595,0,0.46,9,10009,a2c_c2_s0
2,1,a2c,2.222368572373726,7.17869912936758,0.0,5.2,52.0,1.04,52,0,-0.603907696132159,0,0.52,0,10000,a2c_c2_s1
2,1,a2c,2.3113818040247507,8.70508019085569,0.0,7.6,51.0,1.02,51,0,-0.6731968542271265,0,0.51,1,10001,a2c_c2_s1
2,1,a2c,2.261677139788546,8.585777600554403,0.0,6.2,52.0,1.04,52,0,-0.6464469544103046,0,0.52,2,10002,a2c_c2_s1
2,1,a2c,2.1919898257906785,7.323399653138507,0.0,6.0,52.0,1.04,52,0,-0.6414116530023888,0,0.52,3,10003,a2c_c2_s1
2,1,a2c,2.3260500731183775,6.604741982921206,0.0,6.800000000000001,52.0,1.04,52,0,-0.6033267764444368,0,0.52,4,10004,a2c_c2_s1
