C_max,arm,seed,ret,bi,cost,w10
2,ppo,5,-0.6367515845380253,2.3035855089547335,49.7,0.0
2,ppo,6,-0.6403076329160181,2.3377138270206594,47.0,0.0
2,ppo,7,-0.645006782476891,2.292475962442336,50.0,0.0
2,ppo,8,-0.6424827140211227,2.3152899938548566,48.1,0.0
2,ppo,9,-0.6683924969283037,2.288873383653422,49.9,0.0
2,threshold,-1,-4.236516397196834,3.54689036127006,0.0,1.1800000000000002
4,a2c,0,-0.8705897054552423,2.088443850870237,70.1,0.0
4,a2c,1,-0.8936171708265827,2.185513363160326,67.4,0.0
4,a2c,2,-0.816974375189625,2.17448082888556,66.7,0.0
4,calendar,-1,-0.9760237540802634,2.6045977231101625,41.0,0.06000000000000001
4,mpc1,-1,-1.1768111342544547,2.9819536852949087,21.0,0.02
4,none,-1,-4.236516397196834,3.54689036127006,0.0,1.1800000000000002
4,ppo,0,-0.7259021667338256,2.1521750188676125,58.1,0.0
4,ppo,1,-0.6928373836254149,2.162343837026435,57.4,0.0
4,ppo,2,-0.690803242399441,2.187442536468622,53.5,0.0
4,ppo,3,-0.6645934943791305,2.2205672166704344,51.6,0.0
4,ppo,4,-0.6808123335686502,2.2113862059947893,52.0,0.0
4,ppo,5,-0.6803752749682987,2.223361721383367,52.8,0.0
4,ppo,6,-0.7056115352427736,2.2084721241749277,53.4,0.0
4,ppo,7,-0.6757005380244439,2.2675279733269615,50.9,0.0
4,ppo,8,-0.7085549115026633,2.194333121867097,55.9,0.0
4,ppo,9,-0.7013441078852807,2.084492643011693,59.7,0.0
4,threshold,-1,-3.3718939292643846,3.196649459989975,79.2,0.5
6,a2c,0,-1.3019596917515304,2.357679834257856,65.8,0.06000000000000001
6,a2c,1,-0.8993101762646741,2.1009959516141525,70.3,0.0
6,a2c,2,-0.7538391983473587,2.172381803658615,57.3,0.0
6,calendar,-1,-0.8915898292173428,2.327698550314046,52.8,0.04
6,dqn,0,-3.1641808163533094,1.8595581828938563,214.6,0.1
6,dqn,1,-2.2959532751747584,1.4151620089338126,203.8,0.0
6,dqn,2,-3.4060990887331934,2.3903328558611996,148.0,0.42000000000000004
6,mpc1,-1,-1.1548991209968578,2.9606569715142514,22.0,0.02
6,none,-1,-4.236516397196834,3.54689036127006,0.0,1.1800000000000002
6,ppo,0,-0.7265982454771143,2.1823711608252596,56.9,0.0
6,ppo,1,-0.7548640585234196,2.0989020532660154,61.2,0.0
6,ppo,2,-0.8533599434475718,2.074632179908504,70.2,0.0
6,ppo,3,-0.933110546281592,2.028001420871129,78.6,0.0
6,ppo,4,-0.8945379841426314,2.0616075268955005,72.8,0.0
6,ppo,5,-0.7708211076656785,2.0612314953983675,61.0,0.0
6,ppo,6,-0.7735537856639667,2.1487853849674248,61.7,0.0
6,ppo,7,-0.9033051786059776,1.9832981780175576,78.5,0.0
6,ppo,8,-0.9157165591745237,1.9651554733161654,82.2,0.0
6,ppo,9,-0.7731015866482638,2.1176290011313825,61.3,0.0
6,threshold,-1,-3.0005890740699304,2.91300463235698,144.0,0.2
8,a2c,0,-0.983735089271787,2.150946594158332,74.5,0.0
8,a2c,1,-0.9459510957192638,2.0571111728414295,76.0,0.0
8,a2c,2,-0.807014561509272,1.9470598005499238,67.9,0.0
8,calendar,-1,-0.8839530131071806,2.2429071104125056,56.0,0.04
8,mpc1,-1,-1.1548991209968578,2.9606569715142514,22.0,0.02
8,none,-1,-4.236516397196834,3.54689036127006,0.0,1.1800000000000002
8,ppo,0,-1.0784480772456262,1.9457551596480211,88.8,0.0
8,ppo,1,-0.8668443718061729,1.8624827309355343,78.1,0.0
8,ppo,2,-1.205579875310301,1.6463275515747544,115.5,0.0
8,ppo,3,-1.0351221321415898,1.947431916040982,87.6,0.0
8,ppo,4,-1.1393703119892635,1.8100738890434236,100.7,0.0
8,ppo,5,-0.9930933848436926,2.005792444114535,81.2,0.0
8,ppo,6,-0.8851260746146524,1.884392734381504,78.1,0.0
8,ppo,7,-1.078436542576557,1.8984569993207265,94.7,0.02
8,ppo,8,-1.0633319484748278,1.8697195927738803,94.0,0.0
8,ppo,9,-1.2258727581926545,1.73747311172377,111.4,0.0
