C_max,arm,seeds,n,ret_mean,ret_sd,bi_mean,bi_sd,peak_bi,w10,w5,cost,cost_sd,budget_util,infeasible_weeks
2,none,1,10,-4.236516397196834,0.2325602212465397,3.54689036127006,0.044878669499088794,11.483847714493312,1.1800000000000002,31.159999999999997,0.0,0.0,0.0,0.0
2,ppo,10,100,-0.6583155615169888,0.038840730798408774,2.302531652677167,0.05663787922629029,7.912108405320952,0.0,7.328,49.3,2.7542437411853347,0.493,0.0
2,threshold,1,10,-4.236516397196834,0.2325602212465397,3.54689036127006,0.044878669499088794,11.483847714493312,1.1800000000000002,31.159999999999997,0.0,0.0,0.0,0.0
4,a2c,3,30,-0.8603937504904834,0.05854648599280161,2.149479347638708,0.07909590078942436,7.876271997287604,0.0,7.293333333333334,68.06666666666666,3.551913843834477,0.3403333333333333,0.0
4,calendar,1,10,-0.9760237540802634,0.06334597515230296,2.6045977231101625,0.03415652486206439,9.411616969888865,0.06000000000000001,13.420000000000002,41.0,0.9428090415820638,0.205,0.0
4,mpc1,1,10,-1.1768111342544547,0.10529941596723921,2.9819536852949087,0.04285482066550685,9.494645589161061,0.02,21.72,21.0,0.0,0.10500000000000001,0.0
4,none,1,10,-4.236516397196834,0.2325602212465397,3.54689036127006,0.044878669499088794,11.483847714493312,1.1800000000000002,31.159999999999997,0.0,0.0,0.0,0.0
4,ppo,10,100,-0.6926534988329922,0.04160814570034645,2.1912102398791937,0.0766603859809719,7.773587812978886,0.0,6.438000000000001,54.53,3.8335441312264282,0.27265,0.0
4,threshold,1,10,-3.3718939292643846,0.19506702930818332,3.196649459989975,0.04659201472295491,10.933307053851355,0.5,25.28,79.2,4.5166359162544865,0.396,0.0
6,a2c,3,30,-0.9850363554545211,0.26274891427809616,2.2103525298435414,0.12859373051051465,8.468074319359088,0.020000000000000004,9.473333333333333,64.46666666666667,6.3448775610225825,0.21488888888888888,0.0
6,calendar,1,10,-0.8915898292173428,0.10381103183534163,2.327698550314046,0.04266589886647647,9.127599140844598,0.04,8.72,52.8,1.8135294011647245,0.176,0.0
6,dqn,3,30,-2.955411060087087,0.5141505143136441,1.8883510158962895,0.4074022938352145,9.848556861939128,0.17333333333333334,11.5,188.8,30.149512491054907,0.6293333333333333,0.0
6,mpc1,1,10,-1.1548991209968578,0.09996636416274297,2.9606569715142514,0.043779963121435575,9.207893207691752,0.02,20.94,22.0,0.0,0.07333333333333333,0.0
6,none,1,10,-4.236516397196834,0.2325602212465397,3.54689036127006,0.044878669499088794,11.483847714493312,1.1800000000000002,31.159999999999997,0.0,0.0,0.0,0.0
6,ppo,10,100,-0.8298968995630739,0.08282790570167894,2.0721613874597304,0.09209216687301647,7.796752246292764,0.0,6.15,68.44,9.242326874797614,0.22813333333333333,0.0
6,threshold,1,10,-3.0005890740699304,0.17281952153349592,2.91300463235698,0.04391352654536635,10.206792518248188,0.2,20.580000000000002,144.0,7.0710678118654755,0.48,0.0
8,a2c,3,30,-0.9122335821667742,0.09323617290357937,2.051705855849895,0.09799908102320833,7.998587636311602,0.0,6.7266666666666675,72.8,4.02920373754178,0.182,0.0
8,calendar,1,10,-0.8839530131071806,0.0914050773831499,2.2429071104125056,0.05399266563948548,9.160780505401991,0.04,7.5200000000000005,56.0,2.5385910352879684,0.13999999999999999,0.0
8,mpc1,1,10,-1.1548991209968578,0.09996636416274297,2.9606569715142514,0.043779963121435575,9.207893207691752,0.02,20.94,22.0,0.0,0.05500000000000001,0.0
8,none,1,10,-4.236516397196834,0.2325602212465397,3.54689036127006,0.044878669499088794,11.483847714493312,1.1800000000000002,31.159999999999997,0.0,0.0,0.0,0.0
8,ppo,10,100,-1.0571225477195338,0.12530034728597744,1.860790612955713,0.1178567303276541,7.734597013432552,0.002,4.88,93.01,12.784535323364066,0.232525,0.0
8,threshold,1,10,-3.0005890740699304,0.17281952153349592,2.91300463235698,0.04391352654536635,10.206792518248188,0.2,20.580000000000002,144.0,7.0710678118654755,0.36,0.0
inf,a2c,3,30,-0.833658815107912,0.07958580781503659,2.209459731878943,0.15752168706252634,8.305781444087012,0.006666666666666667,7.8,56.166666666666664,7.120070385807331,,0.0
inf,calendar,1,10,-0.8858282017350048,0.0958552732995905,2.226476275173974,0.05023544074185821,9.160780505401991,0.04,7.340000000000001,56.7,2.3118054512532944,,0.0
inf,mpc1,1,10,-1.1548991209968578,0.09996636416274297,2.9606569715142514,0.043779963121435575,9.207893207691752,0.02,20.94,22.0,0.0,,0.0
inf,none,1,10,-4.236516397196834,0.2325602212465397,3.54689036127006,0.044878669499088794,11.483847714493312,1.1800000000000002,31.159999999999997,0.0,0.0,,0.0
inf,ppo,10,100,-0.6907430442540271,0.04507429653617638,2.166335926513297,0.07462332842728193,7.767322161001337,0.0,5.954,55.88,4.125016069757495,,0.0
inf,threshold,1,10,-3.0168572622230707,0.122237575927406,2.587844556178894,0.05089551699816943,9.872447185712705,0.1,14.64,219.6,7.848566748139434,,0.0
