fold_year,C_max,arm,seed,rep,episode_return,mean_bi,total_cost,weeks_bi_ge10_pct,eval_seed
2016,2,ppo,1,5,-0.6586069450840857,2.4546961045140363,49.0,0.0,10005.0
2016,2,ppo,1,6,-0.6231037095429575,2.4008490625565853,48.0,0.0,10006.0
2016,2,ppo,1,7,-0.7260081261153658,2.406240501299076,51.0,0.0,10007.0
2016,2,ppo,1,8,-0.6717768631873634,2.4666749481655907,49.0,0.0,10008.0
2016,2,ppo,1,9,-0.8004126663219859,2.4341586945751277,50.0,0.0,10009.0
2016,2,ppo,2,0,-0.6124041821038,2.377925044515681,50.0,0.0,10000.0
2016,2,ppo,2,1,-0.6980204317546471,2.375314931158408,54.0,0.0,10001.0
2016,2,ppo,2,2,-0.737177935998079,2.4431609527421183,50.0,0.0,10002.0
2016,2,ppo,2,3,-0.7033428827332533,2.3299684461862586,51.0,0.0,10003.0
2016,2,ppo,2,4,-0.6769190407036816,2.4707787122875833,50.0,0.0,10004.0
2016,2,ppo,2,5,-0.6543459791738427,2.4843301731025202,47.0,0.0,10005.0
2016,2,ppo,2,6,-0.6262954559948113,2.3694841300553944,49.0,0.0,10006.0
2016,2,ppo,2,7,-0.7467126267529748,2.46976137465686,49.0,0.0,10007.0
2016,2,ppo,2,8,-0.6744274104560113,2.4182201966795263,50.0,0.0,10008.0
2016,2,ppo,2,9,-0.7130273224279304,2.3902169977205348,52.0,0.0,10009.0
2016,2,ppo,3,0,-0.6177937040230063,2.4264939316921734,48.0,0.0,10000.0
2016,2,ppo,3,1,-0.7322518583477723,2.43130666121507,50.0,0.0,10001.0
2016,2,ppo,3,2,-0.7209700161075696,2.4587854430319243,48.0,0.0,10002.0
2016,2,ppo,3,3,-0.7400413594702933,2.380331292451518,49.0,0.0,10003.0
2016,2,ppo,3,4,-0.6497107785561855,2.4936342095016304,49.0,0.0,10004.0
2016,2,ppo,3,5,-0.6634607612717438,2.512357732183828,46.0,0.0,10005.0
2016,2,ppo,3,6,-0.6437191648949511,2.3665979333410467,51.0,0.0,10006.0
2016,2,ppo,3,7,-0.8530073255634977,2.5278104093214644,46.0,0.19607843137254902,10007.0
2016,2,ppo,3,8,-0.7077946304461595,2.4234431148375735,51.0,0.0,10008.0
2016,2,ppo,3,9,-0.6640207056206728,2.428122684393295,49.0,0.0,10009.0
2016,2,ppo,4,0,-0.6307326352882856,2.4471806475256725,47.0,0.0,10000.0
2016,2,ppo,4,1,-0.7483994812702816,2.4277806552946997,51.0,0.0,10001.0
2016,2,ppo,4,2,-0.7464136731759144,2.4601444590188706,48.0,0.0,10002.0
2016,2,ppo,4,3,-0.672635624785339,2.350203907959868,49.0,0.0,10003.0
2016,2,ppo,4,4,-0.7474984220534813,2.4965254981070655,49.0,0.0,10004.0
2016,2,ppo,4,5,-0.6534245336518657,2.4226748566583454,51.0,0.0,10005.0
2016,2,ppo,4,6,-0.6557194235140197,2.4074539931231387,48.0,0.0,10006.0
2016,2,ppo,4,7,-0.779676354156213,2.4482031065486236,49.0,0.19607843137254902,10007.0
2016,2,ppo,4,8,-0.7113625075808016,2.426377278274172,51.0,0.0,10008.0
2016,2,ppo,4,9,-0.7054757657696127,2.422642435204978,50.0,0.0,10009.0
2016,2,ppo,5,0,-0.7431640620540726,2.3518319686552327,54.0,0.0,10000.0
2016,2,ppo,5,1,-0.6697472429814971,2.402563422041568,51.0,0.0,10001.0
2016,2,ppo,5,2,-0.7594728689811797,2.378673578371501,53.0,0.0,10002.0
2016,2,ppo,5,3,-0.7647507987789766,2.3229278060347007,52.0,0.0,10003.0
2016,2,ppo,5,4,-0.7182105091408361,2.41396719398397,54.0,0.0,10004.0
2016,2,ppo,5,5,-0.6793581090334111,2.397928734404566,53.0,0.0,10005.0
2016,2,ppo,5,6,-0.6548531103674538,2.3135798017954308,54.0,0.0,10006.0
2016,2,ppo,5,7,-0.7071995285094369,2.438378590798429,49.0,0.0,10007.0
2016,2,ppo,5,8,-0.6794601662222801,2.449154834155662,49.0,0.0,10008.0
2016,2,ppo,5,9,-0.6742536900237309,2.389819823857904,52.0,0.0,10009.0
2016,2,ppo,6,0,-0.592829247265037,2.4141173909675664,50.0,0.0,10000.0
2016,2,ppo,6,1,-0.7207640500480638,2.400182098043575,51.0,0.0,10001.0
2016,2,ppo,6,2,-0.7005139178176983,2.469120709514633,47.0,0.0,10002.0
2016,2,ppo,6,3,-0.6749977224100783,2.341142722099722,49.0,0.0,10003.0
2016,2,ppo,6,4,-0.7005668087393137,2.4493212420420973,53.0,0.0,10004.0
2016,2,ppo,6,5,-0.6904982656463319,2.4449381696537222,49.0,0.0,10005.0
2016,2,ppo,6,6,-0.6597557328630897,2.3378960512577716,53.0,0.0,10006.0
2016,2,ppo,6,7,-0.7023981627166739,2.4384506395097536,50.0,0.0,10007.0
2016,2,ppo,6,8,-0.7025343841413986,2.3918691430450325,53.0,0.0,10008.0
2016,2,ppo,6,9,-0.7066140259256727,2.3348815645265626,54.0,0.0,10009.0
2016,2,ppo,7,0,-0.6845811462000503,2.49458427548234,45.0,0.0,10000.0
2016,2,ppo,7,1,-0.8199379716245994,2.469841611669319,49.0,0.0,10001.0
2016,2,ppo,7,2,-0.8223394709221786,2.479608589109391,48.0,0.0,10002.0
2016,2,ppo,7,3,-0.7914757462547007,2.411271320031686,47.0,0.0,10003.0
2016,2,ppo,7,4,-0.7635637224609861,2.512129848633141,49.0,0.0,10004.0
2016,2,ppo,7,5,-0.6513577400592483,2.4692117723595715,48.0,0.0,10005.0
2016,2,ppo,7,6,-0.7029871236302018,2.4506639812696482,45.0,0.0,10006.0
2016,2,ppo,7,7,-0.8471465256278256,2.419184340693937,52.0,0.19607843137254902,10007.0
2016,2,ppo,7,8,-0.7703208714289497,2.4870776903804885,48.0,0.0,10008.0
2016,2,ppo,7,9,-0.7547292003612706,2.4705767650690187,47.0,0.0,10009.0
2016,2,ppo,8,0,-0.63241000432794,2.3791808694762757,50.0,0.0,10000.0
2016,2,ppo,8,1,-0.6810852051935187,2.430844791358682,50.0,0.0,10001.0
2016,2,ppo,8,2,-0.7896470144718195,2.4421772156098673,50.0,0.0,10002.0
2016,2,ppo,8,3,-0.7602488552823807,2.3975119737574433,48.0,0.0,10003.0
2016,2,ppo,8,4,-0.7074598529955886,2.4631674306164224,51.0,0.0,10004.0
2016,2,ppo,8,5,-0.6844416530495903,2.4961139294798973,48.0,0.0,10005.0
2016,2,ppo,8,6,-0.7038650453776082,2.4229056472167865,47.0,0.0,10006.0
2016,2,ppo,8,7,-0.8322018555361024,2.4900269568959836,48.0,0.19607843137254902,10007.0
2016,2,ppo,8,8,-0.7386643656278051,2.419366133240319,51.0,0.0,10008.0
2016,2,ppo,8,9,-0.677319988700862,2.422478399794322,49.0,0.0,10009.0
2016,2,ppo,9,0,-0.7002072128531498,2.433244310423479,48.0,0.0,10000.0
2016,2,ppo,9,1,-0.7701783122864958,2.472136576209469,49.0,0.0,10001.0
