arm,label,seed,model,mean_bi,peak_bi,weeks_bi_ge10_pct,weeks_bi_ge5_pct,total_cost,mean_weekly_cost,n_sr,n_sp,episode_return,n_infeasible_weeks,budget_utilisation,rep,eval_seed
md,C=inf  MultiDiscrete (status quo),6,ppo_cinf_s6,2.0625885691171653,7.696193892216406,0.0,4.8,57.0,1.14,57,0,-0.6683758326726994,0,,3,10003
md,C=inf  MultiDiscrete (status quo),6,ppo_cinf_s6,2.176901930394151,7.834218187847699,0.0,5.4,58.0,1.16,58,0,-0.6874051116853024,0,,4,10004
md,C=inf  MultiDiscrete (status quo),6,ppo_cinf_s6,2.1092113531296883,8.659326909104713,0.0,5.800000000000001,60.0,1.2,60,0,-0.7524433819202427,0,,5,10005
md,C=inf  MultiDiscrete (status quo),6,ppo_cinf_s6,2.060820744175296,7.676935753511848,0.0,5.4,61.0,1.22,61,0,-0.7279972783356099,0,,6,10006
md,C=inf  MultiDiscrete (status quo),6,ppo_cinf_s6,2.11684475645836,7.704103637026934,0.0,5.6000000000000005,58.0,1.16,58,0,-0.742788702631322,0,,7,10007
md,C=inf  MultiDiscrete (status quo),6,ppo_cinf_s6,2.175825288798443,7.363361478177297,0.0,6.2,56.0,1.12,56,0,-0.684071514765447,0,,8,10008
md,C=inf  MultiDiscrete (status quo),6,ppo_cinf_s6,2.1748301833758497,6.8488257647001,0.0,6.4,55.0,1.1,55,0,-0.6460525769805906,0,,9,10009
md,C=inf  MultiDiscrete (status quo),7,ppo_cinf_s7,2.1651861473485345,7.398207419277847,0.0,6.2,52.0,1.04,52,0,-0.6605651947587293,0,,0,10000
md,C=inf  MultiDiscrete (status quo),7,ppo_cinf_s7,2.1449666629392588,8.70508019085569,0.0,6.800000000000001,54.0,1.08,54,0,-0.7453289060782134,0,,1,10001
md,C=inf  MultiDiscrete (status quo),7,ppo_cinf_s7,2.161895865532004,8.072958024948258,0.0,6.6000000000000005,53.0,1.06,53,0,-0.6561186164956346,0,,2,10002
md,C=inf  MultiDiscrete (status quo),7,ppo_cinf_s7,2.111592270421961,7.524031078930419,0.0,5.4,51.0,1.02,51,0,-0.619731186740732,0,,3,10003
md,C=inf  MultiDiscrete (status quo),7,ppo_cinf_s7,2.303856370248611,8.147874933486998,0.0,6.4,50.0,1.0,50,0,-0.6482446401891243,0,,4,10004
